Country, ,County,YEAR,Month,Date-1,Season,SeasonNum,Duration_H,Inj,Death,Damage,Category1_wzero,Class,PRCP,TMAX,TMIN,TAVG,Category,County-1,Year,Month-1,PR1,PR2,PR3,PR4,PR5,PR6,PR7,PR8,PR9,PR10,PR11,PR12,PR13,PR14,PR15,PR16,TMAX1,TMAX2,TMAX3,TMAX4,TMAX5,TMAX6,TMAX7,TMAX8,TMAX9,TMAX10,TMAX11,TMAX12,TMAX13,TMAX14,TMAX15,TMAX16,TMIN1,TMIN2,TMIN3,TMIN4,TMIN5,TMIN6,TMIN7,TMIN8,TMIN9,TMIN10,TMIN11,TMIN12,TMIN13,TMIN14,TMIN15,TMIN16,RunOff1,RunOff2,RunOff3,RunOff4,RunOff5,RunOff6,RunOff7,RunOff8,RunOff9,RunOff10,RunOff11,RunOff12,RunOff13,RunOff14,RunOff15,RunOff16,Wind1,Wind2,Wind3,Wind4,Wind5,Wind6,Wind7,Wind8,Wind9,Wind10,Wind11,Wind12,Wind13,Wind14,Wind15,Wind16
United States of America,TEXAS,Bexar,1999,8,8/24/1999,Summer,2,2,0,0,76733.5918,1,DS1,26.2,33.9,22.2,28.05,1,Bexar,1999,8,25.371,25.722,27.195,195.745,40.862,61.666,43.149,39.346,72.324,47.173,4.13,111.445,65.598,0.817,23.543,69.765,36.353,38.256,34.982,33.608,36.645,34.939,36.628,36.971,35.202,35.516,38.256,35.297,33.573,37.813,37.756,35.528,23.877,23.361,21.776,22.572,23.792,22.407,23.352,23.607,23.116,23.081,23.921,23.766,21.678,23.867,23.711,23.882,9.72,5.428,9.061,57.041,5.547,17.216,20.371,13.194,13.758,8.34,5,16.028,15.973,2.889,5.559,8.534,3.515,3.077,3.037,2.805,3.269,3.82,2.805,3.167,3.037,3.034,3.077,2.961,2.695,3.515,3.467,3.389
United States of America,TEXAS,Bexar,2000,4,4/3/2000,Spring,1,0.5,0,0,14846.87122,2,DS2,16.15,21.65,11.675,16.6625,2,Bexar,2000,4,54.056,55.556,6.124,33.236,80.54,17.962,58.972,198.551,2.475,123.73,32.597,70.46,9.349,35.379,37.901,70.331,29.811,27.78,30.336,27.751,29.866,25.612,29.942,25.716,31.022,25.917,28.948,25.976,29.17,27.95,27.318,27.194,16.61,14.619,12.651,15.83,17.394,11.952,17.89,13.454,16.502,17.541,15.349,15.369,15.932,16.465,14.677,15.056,7.344,7.655,3.194,6.729,10.738,9.089,7.315,67.06,2.925,22.623,6.615,11.903,7.562,5.362,4.991,8.031,4.544,5.209,5.118,4.544,4.813,4.707,3.91,4.813,4.707,4.225,4.549,3.776,4.936,4.154,4.896,5.187
United States of America,TEXAS,Bexar,2000,5,5/19/2000,Spring,1,1.166666667,0,0,14846.87122,2,DS2,21.975,32.375,18.775,25.575,2,Bexar,2000,5,60.421,64.157,38.733,41.808,162.191,30.69,113.713,39.172,112.432,139.104,42.797,186.294,115.521,61.343,115.826,148.517,31.54,31.811,35.936,30.514,31.145,30.759,31.654,31.396,31.833,28.623,33.553,28.759,28.827,30.211,29.05,30.293,19.241,20.002,19.282,19.315,20.36,16.61,19.698,19.346,19.826,19.218,19.443,20.084,16.366,16.835,17.83,20.066,7.122,8.069,5.227,6.206,25.154,7.375,14.855,27.187,13.433,47.016,6.428,30.327,14.859,7.303,14.946,17.246,4.341,4.346,4.328,3.605,4.527,3.282,4.687,4.359,4.038,4.744,4.184,4.499,4.831,4.392,5.126,4.021
United States of America,TEXAS,Bexar,2000,6,6/10/2000,Summer,2,4.5,0,0,44540.61366,1,DS1,62.93333333,28.53333333,21.13333333,24.83333333,1,Bexar,2000,6,41.994,33.597,98.562,118.304,177.103,37.229,245.747,41.496,42.239,38.615,47.257,229.733,66.854,34.656,74.687,47.425,36.642,36.781,33.635,33.642,29.75,34.932,32.158,35.92,35.006,33.655,35.802,32.808,32.668,33.982,34.11,35.09,24.022,23.349,22.669,22.882,21.891,22.982,22.112,22.731,21.95,21.999,23.422,22.48,22.072,22.695,23.873,23.833,5.923,4.888,10.64,18.275,81.666,6.322,83.494,11.742,6.166,16.644,6.849,150.339,10.607,5.155,9.632,14.269,4.11,3.365,3.864,3.78,3.421,3.78,3.954,3.421,3.676,3.864,4.11,3.814,3.954,4.241,3.139,5.057
United States of America,TEXAS,Bexar,2000,6,6/11/2000,Summer,2,1,0,0,14846.87122,1,DS1,10.83333333,29.63333333,22.2,25.91666667,1,Bexar,2000,6,41.994,33.597,98.562,118.304,177.103,37.229,245.747,41.496,42.239,38.615,47.257,229.733,66.854,34.656,74.687,47.425,36.642,36.781,33.635,33.642,29.75,34.932,32.158,35.92,35.006,33.655,35.802,32.808,32.668,33.982,34.11,35.09,24.022,23.349,22.669,22.882,21.891,22.982,22.112,22.731,21.95,21.999,23.422,22.48,22.072,22.695,23.873,23.833,5.923,4.888,10.64,18.275,81.666,6.322,83.494,11.742,6.166,16.644,6.849,150.339,10.607,5.155,9.632,14.269,4.11,3.365,3.864,3.78,3.421,3.78,3.954,3.421,3.676,3.864,4.11,3.814,3.954,4.241,3.139,5.057
United States of America,TEXAS,Bexar,2000,10,10/17/2000,Fall,3,3.5,8,0,44540.61366,4,DS4,25.66666667,26.3,18.73333333,22.51666667,3,Bexar,2000,10,64.125,72.751,43.31,158.028,81.615,159.177,56.797,66.164,99.815,32.895,85.157,56.837,29.183,30.657,15.861,65.081,27.78,27.452,29.197,26.562,28.124,26.864,30.158,28.097,26.963,28.512,29.725,27.341,31.067,27.319,30.191,28.428,15.691,14.064,13.959,14.97,17.063,14.636,16.743,15.399,15.556,15.697,15.427,16.253,16.499,13.416,16.178,15.498,9.152,10.392,6.04,64.125,34.771,47.825,20.592,8.386,18.461,10.033,12.376,23.789,8.769,4.798,4.039,9.7,4.029,3.861,4.617,4.181,4.416,4.563,4.141,4.013,5.162,4.338,4.563,4.778,4.617,3.622,3.962,4.068
United States of America,TEXAS,Bexar,2000,10,10/23/2000,Fall,3,4.5,0,0,89081.22731,4,DS4,28.53333333,27.96666667,21.3,24.63333333,3,Bexar,2000,10,64.125,72.751,43.31,158.028,81.615,159.177,56.797,66.164,99.815,32.895,85.157,56.837,29.183,30.657,15.861,65.081,27.78,27.452,29.197,26.562,28.124,26.864,30.158,28.097,26.963,28.512,29.725,27.341,31.067,27.319,30.191,28.428,15.691,14.064,13.959,14.97,17.063,14.636,16.743,15.399,15.556,15.697,15.427,16.253,16.499,13.416,16.178,15.498,9.152,10.392,6.04,64.125,34.771,47.825,20.592,8.386,18.461,10.033,12.376,23.789,8.769,4.798,4.039,9.7,4.029,3.861,4.617,4.181,4.416,4.563,4.141,4.013,5.162,4.338,4.563,4.778,4.617,3.622,3.962,4.068
United States of America,TEXAS,Bexar,2000,10,10/23/2000,Fall,3,7,0,0,0,0,DS0,28.53333333,27.96666667,21.3,24.63333333,3,Bexar,2000,10,64.125,72.751,43.31,158.028,81.615,159.177,56.797,66.164,99.815,32.895,85.157,56.837,29.183,30.657,15.861,65.081,27.78,27.452,29.197,26.562,28.124,26.864,30.158,28.097,26.963,28.512,29.725,27.341,31.067,27.319,30.191,28.428,15.691,14.064,13.959,14.97,17.063,14.636,16.743,15.399,15.556,15.697,15.427,16.253,16.499,13.416,16.178,15.498,9.152,10.392,6.04,64.125,34.771,47.825,20.592,8.386,18.461,10.033,12.376,23.789,8.769,4.798,4.039,9.7,4.029,3.861,4.617,4.181,4.416,4.563,4.141,4.013,5.162,4.338,4.563,4.778,4.617,3.622,3.962,4.068
United States of America,TEXAS,Bexar,2000,11,11/2/2000,Fall,3,6,0,0,74234.3561,4,DS4,56.9,27.6,19.26666667,23.43333333,3,Bexar,2000,11,22.795,93.238,62.36,144.668,106.786,25.362,67.545,32.637,103.267,38.83,24.484,0.185,78.291,111.193,95.7,24.152,21.721,19.869,20.924,20.993,22.544,23.304,19.584,22.039,21.945,25.186,25.816,20.93,20.953,21.298,21.755,21.314,8.444,8.773,8.578,9.852,11.598,12.561,6.798,8.559,11.676,10.962,14.136,13.187,9.793,7.968,8.656,8.001,4.846,12.916,8.941,64.661,44.945,14.107,18.297,5.496,26.866,7.901,6.73,10.694,17.455,13.204,13.122,5.301,4.904,4.436,4.03,4.564,4.03,4.753,4.03,3.946,4.51,4.924,4.219,4.793,3.47,4.62,4.51,4.753
United States of America,TEXAS,Bexar,2000,11,11/3/2000,Fall,3,6.5,0,0,0,0,DS0,46.9,25.16666667,18.13333333,21.65,3,Bexar,2000,11,22.795,93.238,62.36,144.668,106.786,25.362,67.545,32.637,103.267,38.83,24.484,0.185,78.291,111.193,95.7,24.152,21.721,19.869,20.924,20.993,22.544,23.304,19.584,22.039,21.945,25.186,25.816,20.93,20.953,21.298,21.755,21.314,8.444,8.773,8.578,9.852,11.598,12.561,6.798,8.559,11.676,10.962,14.136,13.187,9.793,7.968,8.656,8.001,4.846,12.916,8.941,64.661,44.945,14.107,18.297,5.496,26.866,7.901,6.73,10.694,17.455,13.204,13.122,5.301,4.904,4.436,4.03,4.564,4.03,4.753,4.03,3.946,4.51,4.924,4.219,4.793,3.47,4.62,4.51,4.753
